,Access,CT du lieu,CT may tinh,CNXHKH,Chuyen de ,CS du lieu,Cong nghe NET ,CNphan mem,Dai so so hoc,DS tuyen tinh,Dan so,Do an,Do hoa,Foxpro,Giai tich 1,Giai tich 2,Giai tich so,He dieu hanh ,He Quan tri CSDL1 ,He Quan tri CSDL2 ,Hinh giai tich,Hop ngu,Kinh te chinh tri,Ky thuat lap trinh,LT huong doi tuong,Lich su Dang,Logic toan ,Mang may tinh,NN hinh thuc,Ngon ngu C,NM phap luat,NM thuat toan,Pascal nang cao,PTTKHT,TK ung dung,TH he quan tri CSDL1,TH Ngon ngu C,TH nang cao3,Tieng Anh 1,Tieng Anh 2,Tieng Anh 3,Tieng Anh 4,Tieng Anh 5,Tieng Anh 6,TH dai cuong 2,TH dai cuong 1,Toan roi rac,Tri tue nhan tao,Triet hoc 1,Triet hoc 2,TT Ho Chi Minh,VL Dai cuong 1,VL Dai cuong 2,Visual Basic,Xac suat,Unnamed: 55
0,1,1,1,1,1,1,,1,1,1,1,,1,1,0,1,1,1,,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,
1,1,1,1,1,1,0,,1,0,1,1,,1,1,0,1,1,0,,,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,,1,1,0,1,0,1,1,1,,1,1,1,1,1,,1,1,0,0,
2,1,1,1,0,1,0,,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,,1,0,1,1,1,1,1,1,,1,1,0,1,1,,1,1,1,0,
3,0,1,0,1,0,0,,0,0,1,1,,0,0,0,1,0,1,,,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,,0,0,1,1,1,1,0,0,,1,1,0,1,0,,0,0,1,0,
4,0,1,0,1,1,1,,1,1,0,1,,0,1,1,0,0,0,,,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,,0,1,1,1,0,1,1,0,,0,0,0,1,0,,1,1,1,1,
5,0,1,1,0,1,0,,1,1,1,1,,1,1,1,1,1,1,,,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,,0,1,1,1,0,1,1,0,,1,1,0,0,0,,1,0,0,1,
6,1,1,1,1,1,1,,1,1,1,1,,1,1,0,1,1,1,,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,
7,1,1,1,1,1,0,,1,0,1,1,,1,1,0,1,1,0,,,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,,1,1,0,1,0,1,1,1,,1,1,1,1,1,,1,1,0,0,
8,1,1,1,0,1,0,,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,,1,0,1,1,1,1,1,1,,1,1,0,1,1,,1,1,1,0,
9,0,1,0,1,0,0,,0,0,1,1,,0,0,0,1,0,1,,,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,,0,0,1,1,1,1,0,0,,1,1,0,1,0,,0,0,1,0,
10,0,1,0,1,1,1,,1,1,0,1,,0,1,1,0,0,0,,,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,,0,1,1,1,0,1,1,0,,0,0,0,1,0,,1,1,1,1,
11,0,1,1,0,1,0,,1,1,1,1,,1,1,1,1,1,1,,,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,,0,1,1,1,0,1,1,0,,1,1,0,0,0,,1,0,0,1,
12,0,1,1,0,1,1,,0,1,1,1,,0,1,0,1,1,1,,,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,,0,1,1,1,0,1,1,0,,1,1,1,1,1,,1,1,1,1,
13,0,1,1,1,1,0,,1,0,0,1,,1,1,1,1,1,1,,,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,,0,1,0,1,0,1,0,1,,0,0,0,1,1,,1,0,0,0,
14,0,1,1,0,1,0,,0,1,1,1,,1,1,1,1,0,0,,,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,,0,1,0,1,1,0,1,1,,0,1,1,1,1,,1,1,1,1,
15,1,1,0,0,1,1,,1,0,1,1,,1,1,1,0,1,1,,,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,,0,1,0,1,0,0,0,1,,1,0,0,0,0,,0,0,1,0,
16,0,1,,0,,0,,0,0,0,1,,0,1,1,1,,,,,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,1,0,,0,0,0,1,,,0,0,0,0,
17,1,1,1,1,0,1,,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,
18,1,1,1,1,1,1,,1,1,1,1,,0,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,1,1,0,1,1,1,0,1,,0,0,1,1,1,,1,1,1,0,
19,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,0,,1,1,1,0,
20,1,1,1,1,1,1,,1,1,1,1,,1,1,1,0,1,1,,,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1,0,1,0,1,1,1,,1,1,0,1,0,,0,1,1,0,
21,1,1,0,1,1,1,,0,1,0,1,,1,1,1,1,0,0,,,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,,1,0,0,1,0,0,0,1,,0,0,0,1,0,,0,0,1,1,
22,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,,1,1,0,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,
23,0,1,0,0,1,0,,1,1,1,1,,1,1,1,1,1,1,,,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,,0,1,1,1,0,0,1,0,,0,0,1,1,0,,1,0,1,1,
24,1,1,1,0,0,1,,0,0,1,1,,0,1,1,0,0,0,,,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,,0,1,1,0,0,0,0,1,,1,0,1,0,1,,1,0,1,1,
25,0,1,1,0,1,0,,0,1,0,1,,0,1,0,1,0,1,,,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,,1,0,0,1,0,0,1,1,,1,1,1,1,1,,1,1,1,1,
26,0,1,1,1,1,1,,1,1,0,1,,1,1,1,1,1,1,,,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,,1,1,1,1,1,1,1,1,,0,1,1,1,1,,0,1,1,1,
27,1,1,1,1,0,1,,1,1,1,1,,0,1,0,1,1,1,,,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,,1,1,0,1,1,0,1,1,,0,1,0,1,0,,1,1,1,1,
28,0,1,1,1,1,0,,1,0,1,1,,1,1,0,0,1,1,,,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,,0,1,0,0,0,1,1,1,,0,1,1,1,0,,0,0,1,1,
29,1,1,1,1,1,0,,1,1,1,1,,1,1,1,0,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,0,,1,1,1,1,
30,0,1,0,0,0,1,,0,0,1,1,,0,1,0,0,0,0,,,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,,0,0,1,1,0,1,1,0,,0,1,0,1,0,,0,0,1,0,
31,0,1,0,1,0,0,,0,0,0,1,,1,1,1,0,1,1,,,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,,0,1,0,0,0,1,0,0,,0,0,0,1,0,,1,1,0,0,
32,0,1,1,1,0,1,,1,0,0,1,,1,1,1,1,1,1,,,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,,1,1,0,1,0,0,1,0,,0,1,1,1,1,,1,0,1,1,
33,0,1,0,1,1,1,,1,1,1,1,,1,1,1,0,1,1,,,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,,1,1,0,1,0,1,1,1,,1,1,0,1,0,,1,1,1,1,
34,0,1,1,0,1,0,,1,0,0,1,,1,1,1,1,0,1,,,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,,0,1,0,1,1,0,1,1,,0,0,0,0,0,,0,0,1,0,
35,0,1,0,0,0,0,,1,1,0,1,,0,1,1,0,0,1,,,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,,0,0,0,1,0,0,0,0,,1,0,1,1,0,,0,0,0,0,
36,0,1,0,0,1,1,,0,0,1,1,,1,1,1,1,1,0,,,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,,1,0,1,1,0,1,1,1,,0,0,1,1,0,,0,0,1,1,
37,1,1,1,1,0,0,,0,0,0,1,,0,1,0,0,1,1,,,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,,1,1,0,1,0,1,1,1,,1,0,1,0,0,,0,0,1,1,
38,1,1,1,0,1,1,,0,1,1,1,,1,1,0,1,1,0,,,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,0,
39,0,1,0,1,1,0,,1,0,0,0,,0,1,1,1,1,1,,,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,,0,1,1,0,0,0,0,1,,1,1,1,1,0,,0,0,1,0,
40,1,1,0,0,1,0,,1,0,1,1,,1,1,1,0,1,0,,,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,,1,1,1,1,0,1,1,0,,0,0,1,1,1,,1,0,1,1,
41,0,1,0,1,1,1,,0,1,1,1,,1,1,0,1,1,1,,,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,1,1,1,1,1,,1,0,1,1,1,,0,0,1,1,
42,0,1,0,1,0,0,,1,0,0,1,,0,1,0,1,0,1,,,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,,0,0,0,1,1,1,1,1,,0,0,0,0,0,,1,0,0,1,
43,1,1,1,0,0,0,,1,1,0,1,,0,1,0,1,0,1,,,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,,0,1,1,1,1,0,0,0,,0,0,1,1,1,,0,0,1,1,
44,1,1,0,1,1,1,,0,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,,1,0,1,1,1,0,1,1,,1,1,1,1,0,,1,1,1,1,
45,0,1,1,1,0,0,,0,0,0,0,,0,1,1,1,0,0,,,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,,0,1,1,1,0,0,1,0,,1,0,1,1,1,,1,0,0,0,
46,0,1,0,1,0,1,,0,0,0,1,,0,1,0,1,0,0,,,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,,0,1,0,0,0,1,1,0,,1,0,0,0,0,,1,0,0,0,
47,0,1,1,1,1,0,,0,1,0,1,,0,1,1,1,0,0,,,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,,0,0,1,1,1,0,1,0,,0,0,1,1,0,,1,0,1,1,
48,1,1,0,1,1,1,,1,0,0,1,,1,1,1,0,0,1,,,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,,0,1,1,0,0,1,1,0,,0,0,1,0,0,,1,1,0,1,
49,1,1,1,1,1,1,,1,1,0,1,,1,1,1,0,1,1,,,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,,0,1,1,1,1,1,1,0,,1,1,1,1,1,,1,0,1,1,
50,0,1,1,0,1,0,,1,0,1,0,,0,1,0,1,0,1,,,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,,0,1,0,0,0,0,0,0,,1,0,0,1,1,,1,0,1,0,
51,0,1,1,1,1,0,,1,1,0,1,,0,1,1,0,0,0,,,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,,0,1,1,1,1,1,1,0,,1,0,1,1,0,,1,0,1,1,
52,,1,1,0,1,1,1,1,1,1,,1,1,,0,0,,1,1,1,1,0,0,1,1,0,,0,0,1,,1,,1,1,,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,
53,,1,0,0,0,1,1,1,0,0,,1,0,,0,0,,0,1,1,1,1,1,1,1,1,,1,0,1,,1,,1,0,,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,
54,,1,1,1,0,1,1,1,0,1,,1,1,,0,0,,1,1,1,0,0,1,0,1,0,,1,1,1,,0,,1,1,,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,
55,,1,1,1,1,1,1,1,1,1,,1,1,,0,1,,1,0,1,1,1,1,1,1,0,,1,1,1,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,
56,,1,1,1,1,0,1,1,1,1,,1,1,,1,1,,1,0,1,1,1,1,0,1,0,,1,1,1,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,
57,,1,0,1,1,1,1,0,1,1,,1,1,,1,1,,0,1,1,0,1,1,1,1,1,,0,1,1,,1,,1,1,,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,
58,,1,0,1,1,0,1,0,1,1,,1,1,,1,0,,0,1,1,0,1,1,1,0,0,,0,1,1,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,
59,,1,1,1,1,1,1,0,1,1,,1,0,,0,0,,1,1,1,1,1,0,0,0,1,,1,1,1,,0,,1,1,,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,
60,,1,1,0,1,1,1,0,1,1,,1,1,,1,1,,1,1,1,1,1,1,0,1,1,,1,0,1,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
61,,1,1,1,1,1,1,0,1,1,,1,1,,1,0,,1,0,1,1,1,1,1,1,0,,0,1,1,,0,,1,1,,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,
62,,1,0,0,1,1,1,0,1,1,,1,1,,1,0,,0,1,1,1,0,1,1,1,0,,1,0,1,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,
63,,1,0,0,0,1,1,0,0,1,,1,0,,1,1,,0,1,1,0,1,1,1,1,1,,1,0,1,,1,,1,1,,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,
64,,1,1,1,1,1,1,1,1,1,,1,1,,1,1,,1,0,1,0,1,1,1,1,1,,1,1,1,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,
65,,1,0,1,1,1,1,0,1,1,,1,0,,1,0,,0,1,1,1,1,1,1,1,1,,0,1,1,,1,,1,1,,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,
66,,1,0,0,1,1,1,0,1,1,,1,1,,1,1,,0,1,1,1,0,0,0,1,1,,1,0,1,,1,,1,1,,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,
67,,1,1,1,0,1,1,1,0,0,,1,0,,0,1,,1,1,1,1,1,1,0,1,1,,1,1,1,,0,,1,1,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,
68,,1,1,0,1,1,1,0,1,1,,1,0,,1,1,,1,1,1,1,1,0,0,1,1,,0,0,1,,0,,1,1,,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,
69,,1,1,1,1,1,1,1,1,1,,1,1,,1,1,,1,1,1,1,1,1,0,1,1,,1,1,1,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,
70,,1,0,1,0,1,1,1,1,1,,1,0,,1,1,,0,1,1,1,1,1,1,1,0,,1,1,1,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,
71,,1,1,1,1,1,1,0,0,1,,1,1,,1,1,,1,1,1,1,1,1,0,1,1,,1,1,1,,1,,0,1,,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,
72,,1,0,1,1,0,1,1,1,1,,1,0,,1,1,,0,1,1,1,0,1,0,1,1,,1,1,1,,0,,1,1,,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,
73,,1,1,1,1,0,1,1,1,1,,0,0,,1,1,,1,0,1,0,0,1,0,1,0,,0,1,1,,0,,0,1,,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,
74,,1,1,1,1,1,1,1,0,1,,1,1,,0,1,,1,1,1,0,1,1,1,1,1,,1,1,1,,1,,1,0,,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,
75,,1,0,0,0,1,1,0,0,0,,1,1,,0,1,,0,1,1,1,1,0,0,1,0,,0,0,1,,1,,0,1,,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,
76,,1,0,0,1,1,1,0,0,0,,1,1,,1,0,,0,0,1,0,0,1,0,1,1,,1,0,1,,0,,0,1,,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,
77,,1,0,0,1,1,1,1,0,1,,0,0,,1,1,,0,1,1,1,1,1,0,0,1,,1,0,1,,0,,1,1,,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,
78,,1,1,0,1,1,1,1,0,0,,1,1,,0,1,,1,1,1,1,1,1,1,1,0,,0,0,1,,1,,1,1,,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,
79,,1,1,1,1,0,1,1,1,1,,1,1,,1,1,,1,0,1,1,0,1,0,1,1,,1,1,1,,1,,1,1,,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,
80,,1,0,1,1,1,1,0,1,1,,1,1,,1,1,,0,1,1,1,1,1,1,1,1,,0,1,1,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,
81,,1,1,0,1,1,1,0,1,1,,1,1,,0,0,,1,1,1,0,0,1,1,1,1,,0,0,1,,0,,1,0,,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,
82,,1,1,1,1,1,1,1,1,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,0,1,0,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,
83,,0,1,1,1,1,1,1,0,1,,1,1,,1,1,,1,1,0,1,0,1,1,1,1,0,0,0,0,,0,,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,
84,,0,0,1,1,1,1,1,1,1,,0,1,,1,0,,1,1,1,1,0,0,0,1,1,0,1,0,1,,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
85,,1,1,0,0,0,1,1,1,1,,1,1,,0,0,,1,1,0,1,1,1,1,1,1,0,1,0,0,,1,,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1
86,,0,1,0,1,1,0,1,1,1,,0,1,,1,1,,1,1,0,1,1,1,1,0,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
87,,1,0,0,1,1,1,1,1,1,,1,0,,0,1,,0,1,1,1,1,1,1,1,0,1,0,1,0,,0,,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0
88,,0,1,0,1,0,1,1,1,1,,1,0,,1,1,,1,1,0,1,1,1,1,1,1,1,0,0,0,,0,,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1
89,,1,1,1,1,1,1,1,1,0,,1,1,,0,0,,1,1,1,0,1,1,1,1,0,1,1,0,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
90,,1,1,0,1,1,1,1,1,1,,1,1,,1,1,,0,0,1,1,1,1,1,1,1,1,0,0,1,,1,,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1
91,,1,1,1,1,1,1,1,0,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,0,1,1,,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1
92,,1,1,0,1,0,1,1,1,1,,1,1,,1,1,,1,1,0,1,1,1,1,1,1,1,0,1,1,,0,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
93,,0,1,1,1,1,1,1,1,0,,0,1,,1,0,,1,1,0,0,0,1,1,0,1,1,1,1,0,,0,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0
94,,1,1,1,1,1,1,1,1,0,,0,1,,0,0,,1,1,1,1,1,0,1,0,1,1,1,0,0,,0,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
95,,0,1,1,1,1,1,1,1,0,,0,1,,0,0,,0,1,1,1,1,1,1,0,1,1,1,0,1,,0,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1
96,,1,1,1,1,1,1,1,1,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,,1,0,0,1,1,1,1,1,1,,0,1,,1,1,,1,1,1,1,1,1,0,1,0,1,0,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
